Part Number,Manufacturer,Description
1095,MAPCO,Urn
1097,MAPCO,Urn
1158,MAPCO,Urn
1177,Collins Aerospace,Oven
1361,Collins Aerospace,Oven
1398,Collins Aerospace,Oven
1543,Safran ,Oven
9756,Adams Rite,Faucet
9810,Adams Rite,Faucet
9819,Adams Rite,Faucet
9824,Adams Rite,Faucet
50047,Collins Aerospace ,Oven
50286,Collins Aerospace ,Oven
50304,Collins Aerospace ,Water Heater
61073,Safran ,Oven
61120,Safran ,Oven
62216,Safran ,Water Boiler
64752,Safran ,Coffee Maker
64753,Safran ,Coffee Maker
64754,Safran ,Coffee Maker
64761,Safran ,Coffee Maker
64763,Safran ,Coffee Maker
67063,Safran ,Oven
67241,Safran ,Oven
67254,Safran ,Oven
611515,Collins Aerospace ,Oven Control Module
611993,Collins Aerospace ,Oven Control Module
611994,Collins Aerospace ,Oven Control Module
72011210,Collins Aerospace ,Coffee Maker
72011240,Collins Aerospace ,Coffee Maker
72012400,Collins Aerospace ,Coffee Maker
72012410,Collins Aerospace ,Coffee Maker
72012420,Collins Aerospace ,Coffee Maker
72015727,Collins Aerospace ,Coffee Maker
72015728,Collins Aerospace ,Coffee Maker
72063000,Collins Aerospace ,Oven
72063100,Collins Aerospace ,Oven
72064050,Collins Aerospace ,Oven
72064051,Collins Aerospace ,Oven
72064060,Collins Aerospace ,Oven
72064061,Collins Aerospace ,Oven
72064063,Collins Aerospace ,Oven
72067000,Collins Aerospace ,Oven
72067001,Collins Aerospace ,Oven
72067002,Collins Aerospace ,Oven
72067003,Collins Aerospace ,Oven
72067004,Collins Aerospace ,Oven
72067005,Collins Aerospace ,Oven
72067006,Collins Aerospace ,Oven
72067100,Collins Aerospace ,Oven
72067101,Collins Aerospace ,Oven
72067102,Collins Aerospace ,Oven
72067750,Collins Aerospace ,Oven
72067752,Collins Aerospace ,Oven
72067850,Collins Aerospace ,Oven
72071006,Collins Aerospace ,Oven
72073000,Collins Aerospace ,Oven
72073100,Collins Aerospace ,Oven
72073750,Collins Aerospace ,Oven
72073850,Collins Aerospace ,Oven
72180131,Collins Aerospace ,Water Boiler
72180132,Collins Aerospace ,Water Boiler
72180133,Collins Aerospace ,Water Boiler
72180134,Collins Aerospace ,Water Boiler
72180135,Collins Aerospace ,Water Boiler
72180137,Collins Aerospace ,Water Boiler
72180138,Collins Aerospace ,Water Boiler
72184100,Collins Aerospace ,Water Boiler
72184101,Collins Aerospace ,Water Boiler
72184105,Collins Aerospace ,Water Boiler
72184106,Collins Aerospace ,Water Boiler
72184108,Collins Aerospace ,Water Boiler
72184109,Collins Aerospace ,Water Boiler
72184110,Collins Aerospace ,Water Boiler
72184113,Collins Aerospace ,Water Boiler
72184115,Collins Aerospace ,Water Boiler
